203,192,11
240,233,7
201,186,15
265,240,25
293,255,38
199,196,3
919,917,2
876,862,14
946,930,16
1021,1008,13
1030,1022,8
739,733,6
224,216,8
893,879,14
948,930,18
201,195,6
243,237,6
959,951,8
161,151,10
205,188,17
222,209,13
871,852,19
1556,895,661
249,240,9
1127,1121,6
254,249,5
1153,1142,11
259,252,7
454,209,245
262,252,10
206,202,4
944,924,20
1149,1122,27
697,238,459
1154,1147,7
1250,1244,6
260,243,17
257,252,5
271,265,6
285,279,6
312,308,4
1285,1278,7
304,299,5
1258,1250,8
1294,1268,26
1271,1263,8
1261,1182,79
265,257,8
289,267,22
1417,1326,91
282,271,11
1328,1320,8
1205,1186,19
294,277,17
326,321,5
532,299,233
337,321,16
1344,1186,158
289,272,17
227,221,6
1358,1354,4
965,961,4
289,267,22
1321,1308,13
227,221,6
427,277,150
275,256,19
1749,1143,606
1793,1219,574
699,254,445
1994,1131,863
955,300,655
1093,1076,17
406,163,243
1364,1139,225
718,107,611
170,156,14
444,264,180
2211,1091,1120
235,229,6
1022,233,789
1087,1077,10
1062,1050,12
1820,1149,671
268,209,59
235,223,12
306,211,95
243,232,11
979,967,12
209,198,11
1047,1029,18
199,194,5
1084,992,92
179,166,13
1156,936,220
1669,1063,606
1679,1024,655
850,767,83
804,229,575
198,172,26
1019,1012,7
201,198,3
997,985,12
238,198,40
331,247,84
219,213,6
1140,934,206
997,992,5
1002,975,27
520,184,336
257,245,12
1153,932,221
1279,206,1073
227,220,7
247,231,16
1221,921,300
244,172,72
365,222,143
1204,957,247
1010,992,18
2323,994,1329
1131,1104,27
490,209,281
191,180,11
199,196,3
964,961,3
963,960,3
1027,1014,13
195,192,3
1735,979,756
1048,1035,13
1723,1026,697
334,218,116
238,221,17
212,193,19
1069,1048,21
2429,972,1457
367,182,185
1060,1051,9
1118,864,254
707,222,485
1277,1003,274
910,888,22
1223,941,282
1122,1114,8
246,237,9
184,176,8
190,187,3
200,194,6
943,243,700
862,850,12
783,209,574
287,226,61
1219,1067,152
585,237,348
1060,1037,23
1186,1169,17
1632,1097,535
247,215,32
1130,1091,39
1655,1102,553
221,214,7
182,173,9
921,911,10
192,189,3
331,233,98
1601,1009,592
1069,1046,23
778,209,569
539,264,275
1800,1075,725
261,241,20
1076,1043,33
1241,1228,13
175,165,10
1365,1180,185
227,206,21
1463,1018,445
1256,1181,75
1033,1005,28
444,178,266
221,214,7
1084,1006,78
996,211,785
1746,1125,621
1028,924,104
1085,1077,8
275,262,13
253,246,7
261,250,11
712,245,467
1710,1083,627
262,237,25
1117,1103,14
1860,1160,700
279,259,20
287,260,27
1240,1227,13
1175,1089,86
276,217,59
361,228,133
1140,1120,20
1114,961,153
1205,1055,150
237,234,3
978,936,42
896,188,708
1770,1080,690
201,198,3
915,230,685
222,206,16
257,244,13
1082,1076,6
1037,1031,6
1704,1233,471
1536,1063,473
463,218,245
246,220,26
1811,1147,664
526,207,319
1152,1150,2
950,207,743
1559,985,574
1019,205,814
271,258,13
382,212,170
221,214,7
1727,1136,591
460,241,219
1157,1143,14
1418,1042,376
403,245,158
1836,1078,758
198,195,3
1718,1096,622
700,197,503
900,182,718
936,925,11
1765,1000,765
274,265,9
788,226,562
1045,237,808
1045,1030,15
1091,1082,9
342,199,143
1046,1040,6
759,246,513
1221,1069,152
179,171,8
218,209,9
1404,1191,213
207,188,19
669,240,429
904,896,8
1262,216,1046
1647,925,722
877,851,26
1186,233,953
958,954,4
789,220,569
925,921,4
407,162,245
1593,915,678
1021,1000,21
1036,901,135
307,294,13
283,211,72
1009,994,15
274,269,5
248,232,16
1000,995,5
341,206,135
1189,971,218
1117,221,896
938,932,6
1072,1068,4
283,212,71
218,207,11
219,216,3
232,219,13
211,207,4
1996,1103,893
1073,1068,5
505,225,280
1256,1020,236
201,184,17
1454,1136,318
1428,1064,364
1227,1102,125
1147,1099,48
311,222,89
286,205,81
475,227,248
250,240,10
220,211,9
1382,1079,303
999,981,18
943,930,13
192,177,15
227,219,8
702,236,466
206,188,18
1631,920,711
211,198,13
1680,1061,619
859,853,6
728,245,483
264,256,8
1095,1088,7
1098,1095,3
283,277,6
1045,1039,6
2422,1049,1373
269,214,55
1158,1153,5
1025,1019,6
208,197,11
1066,1052,14
204,193,11
213,207,6
539,208,331
226,216,10
313,218,95
298,224,74
237,233,4
1655,880,775
951,949,2
379,233,146
1080,980,100
276,213,63
1581,1074,507
368,184,184
1043,1040,3
430,212,218
257,229,28
209,172,37
1157,1031,126
1283,1094,189
309,259,50
1051,1044,7
1539,1116,423
314,221,93
1108,1098,10
1347,1070,277
1407,989,418
1421,971,450
237,222,15
232,223,9
1071,1058,13
1056,1044,12
547,239,308
1255,1130,125
238,217,21
244,220,24
379,201,178
377,191,186
206,203,3
419,235,184
1157,1145,12
270,267,3
989,976,13
1179,1176,3
1371,1154,217
1423,1218,205
1277,1125,152
1336,1102,234
420,154,266
1204,1091,113
393,258,135
489,266,223
1114,1107,7
466,286,180
1273,1037,236
419,248,171
1388,1065,323
260,255,5
1114,1103,11
1110,1100,10
568,210,358
242,200,42
1283,1103,180
1342,1182,160
456,216,240
849,825,24
1127,1112,15
1168,1132,36
1070,1007,63
384,214,170
938,932,6
937,924,13
